CURSO_ACADEMICO,LOCALIDAD,ESTUDIO,TIPO_ESTUDIO,TIPO_EGRESO,SEXO,ALUMNOS_GRADUADOS,ALUMNOS_INTERRUMPEN_ESTUDIOS,ALUMNOS_INTERRUMPEN_EST_ANO1,ALUMNOS_TRASLADAN_OTRA_UNIV,DURACION_MEDIA_GRADUADOS,TASA_EFICIENCIA,FECHA_ACTUALIZACION
2021,Huesca,Máster: Evaluación y Entrenamiento Físico para la Salud,Máster,Abandono Voluntario,Mujeres,0,1,1,0,,,30/10/2022
2021,Huesca,Máster: Evaluación y Entrenamiento Físico para la Salud,Máster,Graduado,Mujeres,2,0,0,0,"2,00","76,92",30/10/2022
2021,Huesca,Máster: Ingeniería Agronómica,Máster,Abandono Voluntario,Hombres,0,3,1,0,,,30/10/2022
2021,Huesca,Máster: Ingeniería Agronómica,Máster,Abandono Voluntario,Mujeres,0,3,1,0,,,30/10/2022
2021,Huesca,Máster: Ingeniería Agronómica,Máster,Graduado,Hombres,2,0,0,0,"2,00","100,00",30/10/2022
2021,Huesca,Máster: Ingeniería Agronómica,Máster,Graduado,Mujeres,3,0,0,0,"2,00","89,80",30/10/2022
2021,Huesca,"Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport",Máster,Abandono Voluntario,Hombres,0,1,1,0,,,30/10/2022
2021,Huesca,"Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport",Máster,Graduado,Hombres,20,0,0,0,"1,05","99,01",30/10/2022
2021,Huesca,"Máster: Profesorado E.S.O., F.P. y Ens. Idiom, Art y Deport",Máster,Graduado,Mujeres,7,0,0,0,"1,00","99,29",30/10/2022
2021,Teruel,Grado: Administración y Dirección de Empresas,Grado,Abandono Voluntario,Hombres,0,4,2,0,,,30/10/2022
2021,Teruel,Grado: Administración y Dirección de Empresas,Grado,Abandono Voluntario,Mujeres,0,2,1,0,,,30/10/2022
2021,Teruel,Grado: Administración y Dirección de Empresas,Grado,Cambio de estudios sin simultaneidad,Hombres,0,1,1,0,,,30/10/2022
2021,Teruel,Grado: Administración y Dirección de Empresas,Grado,Graduado,Hombres,3,0,0,0,"5,00","93,77",30/10/2022
2021,Teruel,Grado: Administración y Dirección de Empresas,Grado,Graduado,Mujeres,5,0,0,0,"4,33","99,17",30/10/2022
2021,Teruel,Grado: Administración y Dirección de Empresas,Grado,Traslado a otra Universidad,Hombres,0,0,0,1,,,30/10/2022
2021,Teruel,Grado: Administración y Dirección de Empresas,Grado,Traslado a otra Universidad,Mujeres,0,0,0,3,,,30/10/2022
2021,Teruel,Grado: Bellas Artes,Grado,Abandono Voluntario,Hombres,0,2,0,0,,,30/10/2022
2021,Teruel,Grado: Bellas Artes,Grado,Abandono Voluntario,Mujeres,0,6,1,0,,,30/10/2022
2021,Teruel,Grado: Bellas Artes,Grado,Cambio de estudios sin simultaneidad,Mujeres,0,1,1,0,,,30/10/2022
2021,Teruel,Grado: Bellas Artes,Grado,Graduado,Hombres,4,0,0,0,"4,00","100,00",30/10/2022
2021,Teruel,Grado: Bellas Artes,Grado,Graduado,Mujeres,26,0,0,0,"4,16","97,56",30/10/2022
2021,Teruel,Grado: Bellas Artes,Grado,Traslado a otra Universidad,Mujeres,0,0,0,7,,,30/10/2022
2021,Teruel,Grado: Enfermería,Grado,Abandono Voluntario,Hombres,0,1,0,0,,,30/10/2022
2021,Teruel,Grado: Enfermería,Grado,Graduado,Hombres,3,0,0,0,"4,00","100,00",30/10/2022
2021,Teruel,Grado: Enfermería,Grado,Graduado,Mujeres,28,0,0,0,"4,00","99,90",30/10/2022
2021,Teruel,Grado: Enfermería,Grado,Traslado a otra Universidad,Hombres,0,0,0,1,,,30/10/2022
2021,Teruel,Grado: Enfermería,Grado,Traslado a otra Universidad,Mujeres,0,0,0,2,,,30/10/2022
2021,Teruel,Grado: Ingeniería Electrónica y Automática,Grado,Abandono Voluntario,Hombres,0,3,1,0,,,30/10/2022
2021,Teruel,Grado: Ingeniería Electrónica y Automática,Grado,Graduado,Hombres,6,0,0,0,"4,67","87,69",30/10/2022
2021,Teruel,Grado: Ingeniería Electrónica y Automática,Grado,Graduado,Mujeres,3,0,0,0,"5,50","82,07",30/10/2022
2021,Teruel,Grado: Ingeniería Informática,Grado,Abandono Voluntario,Hombres,0,8,2,0,,,30/10/2022
2021,Teruel,Grado: Ingeniería Informática,Grado,Abandono Voluntario,Mujeres,0,4,0,0,,,30/10/2022
2021,Teruel,Grado: Ingeniería Informática,Grado,Cambio de estudios sin simultaneidad,Hombres,0,1,1,0,,,30/10/2022
2021,Teruel,Grado: Ingeniería Informática,Grado,Graduado,Hombres,10,0,0,0,"6,40","73,13",30/10/2022
2021,Teruel,Grado: Ingeniería Informática,Grado,Graduado,Mujeres,2,0,0,0,"4,50","96,10",30/10/2022
2021,Teruel,Grado: Ingeniería Informática,Grado,Traslado a otra Universidad,Hombres,0,0,0,1,,,30/10/2022
2021,Teruel,Grado: Magisterio en Educación Infantil,Grado,Abandono Voluntario,Hombres,0,2,0,0,,,30/10/2022
2021,Teruel,Grado: Magisterio en Educación Infantil,Grado,Abandono Voluntario,Mujeres,0,9,5,0,,,30/10/2022
2021,Teruel,Grado: Magisterio en Educación Infantil,Grado,Graduado,Hombres,1,0,0,0,,,30/10/2022
2021,Teruel,Grado: Magisterio en Educación Infantil,Grado,Graduado,Mujeres,47,0,0,0,"4,15","96,42",30/10/2022
2021,Teruel,Grado: Magisterio en Educación Infantil,Grado,Traslado a otra Universidad,Mujeres,0,0,0,5,,,30/10/2022
2021,Teruel,Grado: Magisterio en Educación Primaria,Grado,Abandono Voluntario,Hombres,0,10,4,0,,,30/10/2022
2021,Teruel,Grado: Magisterio en Educación Primaria,Grado,Abandono Voluntario,Mujeres,0,10,5,0,,,30/10/2022
2021,Teruel,Grado: Magisterio en Educación Primaria,Grado,Cambio de estudios sin simultaneidad,Hombres,0,1,1,0,,,30/10/2022
2021,Teruel,Grado: Magisterio en Educación Primaria,Grado,Cambio de estudios sin simultaneidad,Mujeres,0,1,1,0,,,30/10/2022
2021,Teruel,Grado: Magisterio en Educación Primaria,Grado,Graduado,Hombres,21,0,0,0,"5,00","90,81",30/10/2022
2021,Teruel,Grado: Magisterio en Educación Primaria,Grado,Graduado,Mujeres,17,0,0,0,"4,25","95,27",30/10/2022
2021,Teruel,Grado: Magisterio en Educación Primaria,Grado,Traslado a otra Universidad,Hombres,0,0,0,1,,,30/10/2022
2021,Teruel,Grado: Magisterio en Educación Primaria,Grado,Traslado a otra Universidad,Mujeres,0,0,0,2,,,30/10/2022
2021,Teruel,Grado: Psicología,Grado,Abandono Voluntario,Hombres,0,1,1,0,,,30/10/2022
2021,Teruel,Grado: Psicología,Grado,Abandono Voluntario,Mujeres,0,3,1,0,,,30/10/2022
2021,Teruel,Grado: Psicología,Grado,Cambio de estudios sin simultaneidad,Mujeres,0,1,1,0,,,30/10/2022
2021,Teruel,Grado: Psicología,Grado,Graduado,Hombres,9,0,0,0,"4,11","94,74",30/10/2022
2021,Teruel,Grado: Psicología,Grado,Graduado,Mujeres,58,0,0,0,"4,22","95,18",30/10/2022
2021,Teruel,Grado: Psicología,Grado,Traslado a otra Universidad,Mujeres,0,0,0,4,,,30/10/2022
2021,Teruel,Ingeniero Técnico en Informática de Gestión,Diplomatura o equivalente,Traslado a otra Universidad,Hombres,0,0,0,1,,,30/10/2022
